RowID,Title,DEI Focus,Detailed Explanation
1,Conference: International Conference on Mathematical and Scientific Machine Learning 2025 (MSML2025),None,"'Conference: International Conference on Mathematical and Scientific Machine Learning 2025 (MSML2025)' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
2,CAREER: From Enriched Private Set Intersection to Broad Applications of Secure Multi-Party Computation,None,"'CAREER: From Enriched Private Set Intersection to Broad Applications of Secure Multi-Party Computation' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
3,MCA: Neural control of elaborate gestural displays,None,"'MCA: Neural control of elaborate gestural displays' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
4,EPSCoR Research Fellows: NSF:Resonant X-ray Studies of Magnetic Structures and Excitations in the Two-Dimensional Limit,Medium,"'EPSCoR Research Fellows: NSF:Resonant X-ray Studies of Magnetic Structures and Excitations in the Two-Dimensional Limit' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
5,EPSCoR Research Fellows: NSF: In Situ Structural Characterization of Copper-Carbon Heterostructures for Renewable Energy,None,"'EPSCoR Research Fellows: NSF: In Situ Structural Characterization of Copper-Carbon Heterostructures for Renewable Energy' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
6,OPP-PRF: Finding a Future using the Past: Woodland Caribou Ecology in a Changing Arctic,Low,"While the abstract mentions terms that could be tangentially related to DEI, such as sustainability or community impact, the research does not focus on systemic inequities, representation, or social justice. The DEI relevance is more indirect, possibly tied to broader societal implications rather than the core research question."
7,Pliocene-Pleistocene hydroclimate in northern South America as an analogue for future rainfall regimes in the 21st century,Medium,"'Pliocene-Pleistocene hydroclimate in northern South America as an analogue for future rainfall regimes in the 21st century' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
8,EPSCOR Research Fellows: NSF: Molecular control and probe for emergent quantum phenomena at interfaces,None,"'EPSCOR Research Fellows: NSF: Molecular control and probe for emergent quantum phenomena at interfaces' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
9,Collaborative Research: Multi-User Access to Sub-THz Spectrum,None,"'Collaborative Research: Multi-User Access to Sub-THz Spectrum' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
10,AIMing:  Discovery through Machine Learning in Partial Differential Equations,None,"'AIMing:  Discovery through Machine Learning in Partial Differential Equations' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
11,Collaborative Research: NSF-BSF: State-dependent properties of co-transmitting neurons,Medium,"'Collaborative Research: NSF-BSF: State-dependent properties of co-transmitting neurons' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
12,RI: Medium: One vision: Computational alignment of deep neural networks with humans,Medium,"'RI: Medium: One vision: Computational alignment of deep neural networks with humans' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
13,Collaborative Research: SHF: Medium: A Scalable Graph-Based Approach to Clustering,None,"'Collaborative Research: SHF: Medium: A Scalable Graph-Based Approach to Clustering' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
14,CAIG: Navigating the Climate Science Deluge: Training Language Models to Assist in Comprehensive Assessments,Low,"While the abstract mentions terms that could be tangentially related to DEI, such as sustainability or community impact, the research does not focus on systemic inequities, representation, or social justice. The DEI relevance is more indirect, possibly tied to broader societal implications rather than the core research question."
15,Collaborative Research: An Exploration of Science Faculty Motivation in Providing Student Accommodations,Medium,"'Collaborative Research: An Exploration of Science Faculty Motivation in Providing Student Accommodations' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
16,Collaborative Research: FMitF: Track III: Proof assistants in discrete mathematics education,None,"'Collaborative Research: FMitF: Track III: Proof assistants in discrete mathematics education' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
17,Collaborative Research: CISE: Medium: Curving data around obstacles using sub-THz accelerating beams,None,"'Collaborative Research: CISE: Medium: Curving data around obstacles using sub-THz accelerating beams' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
18,Planning: CRISES: A Center on Clean Energy and Society,None,"'Planning: CRISES: A Center on Clean Energy and Society' does not address DEI topics in any meaningful way. The abstract lacks references to social justice, diversity, equity, or inclusion, and the research appears to be focused on technical, scientific, or neutral subject matter."
19,Collaborative Research: EDGE FGT: In vivo and in vitro Tools for the Community of Echinoderm Researchers,Medium,"'Collaborative Research: EDGE FGT: In vivo and in vitro Tools for the Community of Echinoderm Researchers' contains references to DEI-related issues but does not center its entire scope on them. The project may include components of diversity, gender equity, or accessibility but is not primarily designed as a DEI-focused initiative. The presence of some key terms such as identity or representation suggests an effort towards inclusivity, though it is not the central theme."
